Year,Fox,CNN,NYT,WaPo
"Total results for ""social media""",61,53,N/A,N/A
Result count for 2021,5,0,N/A,N/A
Result count for 2022,11,13,N/A,N/A
Result count for 2023,16,3,N/A,N/A
Result count for 2024,6,2,N/A,N/A
Result count for 2025,2,15,N/A,N/A
Result count for 2026,21,19,N/A,N/A
Example headlines for 2021,-,-,"Worried About Your Teen on Social Media? Here’s How to Help.

Eating Disorders and Social Media Prove Difficult to Untangle","How addicted are people to social media? We found a way to measure it.

What parents need to know about social media for kids"
Example headlines for 2022,"Greg Gutfeld: Social media use can be like a bad smoking habit

Greg Gutfeld discusses on ""Gutfeld!"" the dangers of excessive social media use.

How is social media contributing to the mental health crisis?

‘America’s Newsroom’ co-host Dana Perino offers advice to combat pressures around social media on ‘Sunday Night in America.’","This is the first time a president mentioned social media by name in a SOTU speech 

A guide to parental controls on social media","Should Kids Be Kept Off Social Media?

It Was a Mistake to Let Kids Onto Social Media Sites. Here’s What to Do Now.",-
Example headlines for 2023,"Tennessee teacher's Facebook post revealing why 'kids aren't ready for social media' goes viral: 'Terrifying'

Social media takes away connectivity with people: Dr. Marc Siegel

Social media is 'very toxic' to young people: Dr. Marc Siegel

Social media contributing to youth's 'disconnection, isolation': Dr. Gilliland

Nearly half of American teens 'constantly' on social media, study says", Social media: What the platforms are for and how they work ,"Surgeon General Warns That Social Media May Harm Children and Adolescents

What Social Media Does to the Teen Brain","How addictive, endless scrolling is bad for your mental health"
Example headlines for 2024,"We need to rein them in': Lawmakers rail against social media CEOs, but is there any regulation in sight?

How parents can encourage healthy social media habits for their kids

New Georgia law bans minors under 16 from using social media without parental consent","My social media is helpful and positive. Here is how yours can be, too ",Researchers Say Social Media Warning Is Too Broad,Social media has become a grim fairy tale
Example headlines for 2025,N/A," You haven’t screwed up your kids by letting them use social media. An expert has tips for what to do 

 Lawsuit alleges social media giants buried their own research on teen mental health harms 

 It’s time to do as the Australians do and ban your kids from social media ","A Grand Social Media Experiment Begins in Australia

Malaysia to Bar Children Under 16 From Social Media, Echoing Australian Ban",Even some teens say social media is hurting their mental health
Example headlines for 2026,"Wake-up call: Landmark social media ruling exposes addictive algorithms as teen survey highlights dangers

A Colorado teen surveyed over 1,000 girls and found strong links social media use and anxiety, depression and sleep deprivation in young girls"," ‘Our children’s brains are not for sale’: Macron says France to fast-track social media ban for under-15s 

 Instagram chief denies social media can be ‘clinically addictive’ in landmark case ","Social Media Addiction Trial Nears End. Society Long Ago Rendered Its Verdict.

Closing arguments began Thursday in a landmark trial that put online behavior under a microscope. In many ways, it has already been decided.

Meta and YouTube Found Negligent in Landmark Social Media Addiction Case

A jury found the companies harmed a young user with design features that were addictive and led to her mental health distress.","Teen social media bans are destined to fail

Do social media bans work?"